Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Category,DK_Datasheet_Link,DK_Detail_Page,Digi-Key_PN,Family,MPN,Manufacturer,Status,Field4,Field5,Field6,Field7,Field8
1,b'',b'ANTENNA',b'A1 A2',b'ANTENNA',b'Patch_Antenna_18mmx18mm',b'2',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
2,b'Unpolarized capacitor',b'C',b'C3 C7 C8 C9 C46 C47',b'0.1uF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'6',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
3,"b'Unpolarized capacitor, small symbol'",b'C_Small',b'C19',b'1.5nF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
4,b'Unpolarized capacitor',b'C',b'C39',b'100pF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
5,b'Unpolarized capacitor',b'C',b'C27 C38',b'10nF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'2',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
6,b'Unpolarized capacitor',b'C',b'C17 C18',b'15pF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'2',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
7,b'Unpolarized capacitor',b'C',b'C45',b'2.2nF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
8,b'Unpolarized capacitor',b'C',b'C29',b'2.2pF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
9,b'Unpolarized capacitor',b'C',b'C31',b'220nF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
10,b'Unpolarized capacitor',b'C',b'C23',b'39pF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
11,b'Unpolarized capacitor',b'C',b'C1 C2 C6 C10 C14 C40 C41 C42 C43 C44',b'4700pF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'10',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
12,b'Unpolarized capacitor',b'C',b'C20 C21 C22 C24 C25 C26 C28 C32 C33 C34 C35',b'47nF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'11',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
13,b'Unpolarized capacitor',b'C',b'C4 C5',b'47pF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'2',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
14,b'Unpolarized capacitor',b'C',b'C15 C16 C30',b'5.1pF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'3',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
15,b'Unpolarized capacitor',b'C',b'C36',b'56pF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
16,b'Unpolarized capacitor',b'C',b'C37',b'6.2pF',b'C_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
17,b'Light emitting diode',b'LED',b'D3',b'433_Heartbeat',b'LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
18,b'Light emitting diode',b'LED',b'D7',b'ACCEL_heartbeat',b'LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
19,b'Light emitting diode',b'LED',b'D4',b'GPS_Heartbeat',b'LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
20,b'Light emitting diode',b'LED',b'D5',b'IMU_heartbeat',b'LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
21,b'Light emitting diode',b'LED',b'D6',b'MS0_heartbeat',b'LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
22,b'Light emitting diode',b'LED',b'D2',b'Red',b'LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
23,b'Light emitting diode',b'LED',b'D8',b'XBEE_HEARTBEAT',b'LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
24,b'Light emitting diode',b'LED',b'D1',b'Yellow',b'LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
25,"b'Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x02_Male',b'J10',b'ACCEL_SW',b'PinHeader_1x02_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
26,"b'Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x03_Male',b'J18',b'ADDR_SEL_MPU',b'PinHeader_1x03_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
27,"b'Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x03_Male',b'J17',b'ADDR_SEL_PRESSURE',b'PinHeader_1x03_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
28,"b'Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x02_Male',b'J14',b'CC1200_SW',b'PinHeader_1x02_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
29,"b'Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x08_Female',b'J13',b'DEBUG_BREAKOUT_433',b'PinHeader_1x08_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
30,b'USB Micro Type B connector',b'USB_B_Micro',b'J3',b'FT231X_USB',b'USB_Micro-B_Wuerth_629105150521_CircularHoles',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
31,"b'Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x02_Male',b'J8',b'FT231_SW',b'PinHeader_1x02_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
32,"b'Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x03_Male',b'J15',b'GPS_RX_JUMPER',b'PinHeader_1x03_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
33,"b'Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x02_Male',b'J9',b'GPS_SW',b'PinHeader_1x02_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
34,"b'Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x03_Male',b'J16',b'GPS_TX_JUMPER',b'PinHeader_1x03_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
35,"b'Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x02_Male',b'J12',b'IMU_SW',b'PinHeader_1x02_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
36,"b'Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x06_Male',b'J20',b'MPU_BREAKOUT',b'PinHeader_1x06_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
37,"b'Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x02_Male',b'J19',b'MPU_SW',b'PinHeader_1x02_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
38,"b'Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x02_Male',b'J11',b'PRESSURE_SW',b'PinHeader_1x02_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
39,"b'Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x02_Male',b'J4',b'TEENSY_SW',b'PinHeader_1x02_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
40,"b'Generic connector, single row, 01x24, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x24_Female',b'J1',b'Teensy_LHS',b'PinHeader_1x24_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
41,"b'Generic connector, single row, 01x24, script generated (kicad-library-utils/schlib/autogen/connector/)'",b'Conn_01x24_Female',b'J2',b'Teensy_RHS',b'PinHeader_1x24_P2.54mm_Vertical',b'1',b'~',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
